galaxy,radius_kpc,vobs_kms,errv_kms,v_baryon_050_kms,v_source_native_nfw_hse_positive_kms,v_source_derived_beta_closure_kms,beta_source_closure,uses_vobs_or_residual_for_beta,post_diagnostic_candidate,endpoint_validation_claim,claim_boundary
UGC12506,27.05,244.0,11.6,123.15285136772108,162.39301730056962,243.8712196535901,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,28.68,249.0,11.6,122.68695957598754,161.72854893342844,242.8166340135866,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,30.32,251.0,11.6,122.5679507456986,161.3090686635929,241.8890564400146,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,31.96,249.0,11.6,121.6038457451079,160.23585574404754,240.50200300290436,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,33.6,244.0,12.9,118.81256183585975,157.77393670192802,238.17616839592236,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,35.24,239.0,16.2,115.74568026496712,155.11343770257585,235.71466696367455,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,36.88,238.0,18.4,113.9756895131589,153.42751543275054,233.89252444318478,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,38.52,241.0,24.9,113.74959164761869,152.88891665309558,232.82063122240922,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,40.16,237.0,23.0,113.56127178752448,152.37863570353971,231.7670168020705,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,41.8,228.0,14.0,112.53139495269754,151.24257374947163,230.30391603018995,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,43.44,233.0,16.9,111.75475359017172,150.29702160092722,228.96955227899892,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,45.08,233.0,13.7,112.52141618376476,150.50438943429546,228.39821631212192,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,46.71,230.0,11.6,111.47700637351184,150.820552035277,230.72404305484974,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,48.35,226.0,11.6,113.81592748820351,154.34891721187148,236.5049382096381,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
UGC12506,49.99,225.0,11.6,116.61010376463956,158.17822519689923,242.41446571651943,3.9542232777653283,False,True,False,ugc12506_source_derived_beta_closure_post_diagnostic_candidate_not_endpoint
