galaxy,r,vobs,errv,vn,v_v6,v_mond,v_K_compact_finite,v_K_scale_tail_spiral,v_K_exponential_disk,v_K_thick_flared,W_warp,K_z,K_EC,K_lag,K_wvo,wvo_attenuation,delta_v2_wvo,v_wvo_endpoint,endpoint_scores_allowed,claim_boundary,radial_zone,wvo_minus_tpg,wvo_residual,tpg_residual
NGC4013,23.69,172.0,5.0,93.46625128890106,174.27639796507236,179.9803547810016,186.98878842787852,175.42559556120383,168.1128141365287,171.30903790031638,1.0,0.0916489815009202,0.1124016485575121,0.0,0.0680168766861441,0.0147233319412978,-447.18090830367873,172.9886758703488,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,outer_overlay_window,-1.2877220947235628,0.9886758703487999,2.2763979650723627
NGC4013,24.39,173.0,5.0,92.66651471810084,174.19300287431352,180.19633943618277,186.55813846194056,175.34697454374137,168.03323074778044,171.2208888114309,1.0,0.0892533972868629,0.1095290251916757,0.0,0.0662608074928462,0.0143432029070859,-435.2187067278137,172.93924812963303,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,outer_overlay_window,-1.2537547446804922,-0.06075187036697116,1.193002874313521
NGC4013,25.2,176.0,5.0,91.64455232036435,173.92830425976595,180.2974853817498,185.92582115926876,175.08785240319585,167.77493046132264,170.951968649084,1.0,0.0866330761858673,0.1063829787234042,0.0,0.0643386849697572,0.0139271289954614,-421.3103455496348,172.7128966728544,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,outer_overlay_window,-1.2154075869115388,-3.287103327145587,-2.0716957402340483
NGC4013,25.9,178.0,5.0,90.40273292329164,173.2079020093131,179.9421148191226,184.93687564562023,174.37471570300883,167.04847364614773,170.2226876980032,1.0,0.084489468249486,0.1038062283737024,0.0,0.0627652322077295,0.0135865301847253,-407.6091839086221,172.0272307937298,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,outer_overlay_window,-1.1806712155832884,-5.972769206270186,-4.792097990686898
NGC4013,26.59,180.0,6.0,89.18344829619451,172.4563937072638,179.56079574004715,183.9371431791141,173.62999369634989,166.29482646635972,169.464463497887,1.0,0.0824778299427495,0.1013856032443393,0.0,0.0612878110623629,0.0132667189408086,-394.56824392094495,171.30860890975046,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,outer_overlay_window,-1.1477847975133386,-8.691391090249539,-7.5436062927362
NGC4013,27.41,180.0,8.0,87.74860380655637,171.5219150399405,179.07802015464898,182.72664183871623,172.703088867776,165.3626480720491,168.5245758355302,1.0,0.0802083229874081,0.0986517592897073,0.0,0.0596200274257051,0.0129057007158454,-379.6827124065312,170.4115155339041,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,outer_overlay_window,-1.1103995060364014,-9.588484466095906,-8.478084960059505
NGC4013,28.1,180.0,5.0,86.52238421356637,170.66250076795836,178.61202156456392,181.65208970416148,171.84995414607027,164.50738139490986,167.66188315568866,1.0,0.0783931923760068,0.0964630225080385,0.0,0.0582854049613484,0.0126168005117135,-367.4730100035413,169.58247597664638,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,outer_overlay_window,-1.0800247913119847,-10.417524023353621,-9.337499232041637
NGC4013,28.8,180.0,5.0,85.39209723387755,169.89535169493118,178.2383983221232,180.6712954089033,171.08793931710352,163.75260085389442,166.89551388319933,1.0,0.0766338196041565,0.0943396226415094,0.0,0.0569911474152219,0.0123366379344596,-356.09002860268083,168.8441307802604,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,outer_overlay_window,-1.051220914670779,-11.1558692197396,-10.104648305068821
NGC4013,29.61,178.0,5.0,84.15713475398267,169.05393355663907,177.85249257296894,179.59281149657815,170.25153189481784,162.93214452413204,166.05845036887328,1.0,0.0746940397551459,0.0919963201471941,0.0,0.05556345330078,0.012027590895229,-343.73931601995355,168.03420227725243,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,outer_overlay_window,-1.019731279386633,-9.965797722747567,-8.946066443360934
NGC4013,30.31,174.0,5.0,83.25187103002551,168.50388313856828,177.68029451319774,178.83804477664282,169.70407116166675,162.4107431432425,165.51744754587497,1.0,0.0730950958345691,0.0900630441308916,0.0,0.0543860466551536,0.0117727225490473,-334.269487963782,167.50907182840126,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,outer_overlay_window,-0.9948113101670231,-6.490928171598739,-5.496116861431716
NGC4013,31.01,170.0,10.0,81.92052642653123,167.34136167387393,176.96614568962613,177.51504765763414,168.54807637470952,161.2571155215835,164.35467161382297,1.0,0.0715631730616255,0.0882093501911202,0.0,0.0532575077509152,0.0115284324007001,-322.83220650970543,166.3739736868618,True,ngc4013_warp_vertical_overlay_caveated_preliminary_endpoint,outer_overlay_window,-0.9673879870121311,-3.6260263131381976,-2.6586383261260664
