galaxy,radius_kpc,vobs_kms,errv_kms,v_baryon_050_kms,P_i_sin2_inclination,W_outer_smoothstep_Rd_to_RHI_source,H_spin_context_not_amplitude,A_extent_context_not_amplitude,C_stable_hi_context_not_amplitude,K_pre_projection_outer,K_context_highspin,K_context_projection_asymmetry,K_context_stable_hi,kernel_value_freeze_status,construction_used_vobs_or_residual,endpoint_scores_allowed,claim_boundary,A_hs_prefrozen_km2_s2,A_pa_prefrozen_km2_s2,v2_carrier_km2_s2,v2_hs_positive_control_km2_s2,v2_hs_negative_control_km2_s2,v2_asym_positive_control_km2_s2,v_hs_positive_control_kms,v_hs_negative_control_kms,v_asym_positive_control_kms,prefreeze_used_vobs_or_residual,K_envelope_source_support,K_envelope_source_support_norm,A_env_source_frozen_km2_s2,v2_envelope_positive_prefrozen_km2_s2,v2_envelope_negative_control_km2_s2,v_envelope_positive_prefrozen_kms,v_envelope_negative_control_kms,endpoint_validation_claim_allowed
UGC12506,17.21,245.0,11.6,133.87144785203455,0.9951340343707852,0.0984854488020211,0.4999999999999999,0.6666666666666666,0.4,0.0980062219931726,0.0490031109965863,0.0653374813287817,0.039202488797269,CONTEXT_PREKERNEL_ONLY_NOT_EXECUTABLE,False,False,ugc12506_source_envelope_support_formula_freeze_not_validation,2150.24905854357,5166.4684684961685,17921.564550000006,18026.93344328612,17816.19565671389,18259.128587096115,134.2644161469677,133.47732263090197,135.1263430538106,False,0.0431886209190991,0.0507109125525282,11285.49621387047,18493.86236161348,17349.266738386534,135.9921408082595,131.7166152707643,False
UGC12506,18.85,249.0,11.6,134.5470664860442,0.9951340343707852,0.1307617457890664,0.4999999999999999,0.6666666666666666,0.4,0.1301254636284406,0.0650627318142203,0.0867503090856271,0.0520501854513762,CONTEXT_PREKERNEL_ONLY_NOT_EXECUTABLE,False,False,ugc12506_source_envelope_support_formula_freeze_not_validation,2150.24905854357,5166.4684684961685,18102.9131,18242.8141778298,17963.012022170198,18551.105836523187,135.06596232148868,134.0261617079673,136.20244431185216,False,0.0619416726096229,0.0727302394986831,11285.49621387047,18923.709942496283,17282.11625750372,137.56347604831845,131.46146301294428,False
UGC12506,20.49,248.0,11.6,133.17119658544786,0.9951340343707852,0.1664818482325105,0.4999999999999999,0.6666666666666666,0.4,0.165671753281123,0.0828358766405614,0.1104478355207486,0.0662687013124492,CONTEXT_PREKERNEL_ONLY_NOT_EXECUTABLE,False,False,ugc12506_source_envelope_support_formula_freeze_not_validation,2150.24905854357,5166.4684684961685,17734.5676,17912.685365759997,17556.44983424,18305.192859631596,133.83828064406683,132.50075408932585,135.29668458477315,False,0.0843118742542296,0.0989967262546981,11285.49621387047,18851.79477933297,16617.34042066703,137.30183822270175,128.9082635856485,False
UGC12506,22.13,250.0,11.6,131.19274408289508,0.9951340343707852,0.2052376751389652,0.4999999999999999,0.6666666666666666,0.4,0.204238995665919,0.1021194978329595,0.136159330443946,0.0816955982663676,CONTEXT_PREKERNEL_ONLY_NOT_EXECUTABLE,False,False,ugc12506_source_envelope_support_formula_freeze_not_validation,2150.24905854357,5166.4684684961685,17211.5361,17431.118454074265,16991.953745925737,17914.998987430197,132.02696108778034,130.35318847625376,133.84692371298712,False,0.1102487326843641,0.1294510851054157,11285.49621387047,18672.455830838593,15750.616369161407,136.64719474192873,125.50145962960514,False
UGC12506,23.77,255.0,11.6,128.3023622151985,0.9951340343707852,0.2466211455150423,0.4999999999999999,0.6666666666666666,0.4,0.2454210954975285,0.1227105477487642,0.163614063665019,0.0981684381990114,CONTEXT_PREKERNEL_ONLY_NOT_EXECUTABLE,False,False,ugc12506_source_envelope_support_formula_freeze_not_validation,2150.24905854357,5166.4684684961685,16461.49615,16725.354389770146,16197.637910229852,17306.803050927843,129.3265417065273,127.26994111034172,131.55532315694353,False,0.1396497931412091,0.1639730164394011,11285.49621387047,18312.01300620378,14610.979293796216,135.32188664884842,120.87588383873856,False
UGC12506,25.41,244.0,14.9,125.1339624162841,0.9951340343707852,0.2902241783673533,0.4999999999999999,0.6666666666666666,0.4,0.2888119574906506,0.1444059787453253,0.1925413049937671,0.1155247829962602,CONTEXT_PREKERNEL_ONLY_NOT_EXECUTABLE,False,False,ugc12506_source_envelope_support_formula_freeze_not_validation,2150.24905854357,5166.4684684961685,15658.508550000004,15969.017369845202,15347.999730154806,16653.267131133405,126.36857746229956,123.8870442385111,129.047538260648,False,0.1723661427641685,0.20238767079652,11285.49621387047,17942.553842508194,13374.463257491814,133.9498183743009,115.64801449870124,False
UGC12506,27.05,244.0,11.6,123.15285136772108,0.9951340343707852,0.33563869270251,0.4999999999999999,0.6666666666666666,0.4,0.3340054863599849,0.1670027431799924,0.2226703242399899,0.133602194543994,CONTEXT_PREKERNEL_ONLY_NOT_EXECUTABLE,False,False,ugc12506_source_envelope_support_formula_freeze_not_validation,2150.24905854357,5166.4684684961685,15166.6248,15525.722291296974,14807.52730870303,16317.044009055728,124.60225636519178,121.68618372150156,127.73818539910346,False,0.2082067044665794,0.2444706906208622,11285.49621387047,17925.59785340404,12407.65174659596,133.8865110957935,111.3896393144172,False
UGC12506,28.68,249.0,11.6,122.68695957598754,0.9951340343707852,0.3821677017281477,0.4999999999999999,0.6666666666666666,0.4,0.3803080868269425,0.1901540434134712,0.253538724551295,0.152123234730777,CONTEXT_PREKERNEL_ONLY_NOT_EXECUTABLE,False,False,ugc12506_source_envelope_support_formula_freeze_not_validation,2150.24905854357,5166.4684684961685,15052.090050000004,15460.968602828072,14643.211497171931,16361.989875937004,124.34214330961194,121.00913807300644,127.91399405826168,False,0.2466972405051973,0.2896652387591453,11285.49621387047,18321.106005306225,11783.074094693784,135.355480145084,108.54986916018731,False
UGC12506,30.32,251.0,11.6,122.5679507456986,0.9951340343707852,0.4299761035906067,0.4999999999999999,0.6666666666666666,0.4,0.4278838546491511,0.2139419273245754,0.285255903099434,0.1711535418596604,CONTEXT_PREKERNEL_ONLY_NOT_EXECUTABLE,False,False,ugc12506_source_envelope_support_formula_freeze_not_validation,2150.24905854357,5166.4684684961685,15022.902549999995,15482.930977812664,14562.874122187332,16496.66817881562,124.43042625424324,120.6767339721594,128.4393560355066,False,0.288045792549621,0.3382155921225045,11285.49621387047,18839.83333437048,11205.97176562951,137.2582723713601,105.85826262332812,False
UGC12506,31.96,249.0,11.6,121.6038457451079,0.9951340343707852,0.4783742322544866,0.4999999999999999,0.6666666666666666,0.4,0.4760464796824342,0.238023239841217,0.3173643197882894,0.1904185918729737,CONTEXT_PREKERNEL_ONLY_NOT_EXECUTABLE,False,False,ugc12506_source_envelope_support_formula_freeze_not_validation,2150.24905854357,5166.4684684961685,14787.495299999997,15299.304547380065,14275.686052619929,16427.148051211927,123.69035753598608,119.4809024598489,128.1684362517228,False,0.3317257821898773,0.3895034565600286,11285.49621387047,19183.23508429766,10391.755515702333,138.50355621534655,101.9399603477573,False
UGC12506,33.6,244.0,12.9,118.81256183585975,0.9951340343707852,0.5269540067263991,0.4999999999999999,0.6666666666666666,0.4,0.5243898666414913,0.2621949333207456,0.3495932444276609,0.2097559466565965,CONTEXT_PREKERNEL_ONLY_NOT_EXECUTABLE,False,False,ugc12506_source_envelope_support_formula_freeze_not_validation,2150.24905854357,5166.4684684961685,14116.424849999998,14680.209258527824,13552.640441472173,15922.587324134782,121.16191339908686,116.4158083830206,126.1847349093177,False,0.3774066636816231,0.4431407141837351,11285.49621387047,19117.487702132395,9115.3619978676,138.26600342142098,95.47440493591778,False
