galaxy,radius_kpc,vobs_kms,errv_kms,carrier_id,formula_id,selected_spin_normalization_route,beta_cl_value,v_carrier_kms,v_beta_cl_transfer_kms,construction_used_vobs,scoring_used_vobs,endpoint_validation_claim,claim_boundary,v_edgeon_vertical_halo_gated_beta_kms,k_distributed_vertical_halo,v_distributed_vertical_halo_beta_kms,r_on_kpc,r_full_kpc
NGC4217,1.74,98.9,8.2,BARYONIC_050_FAST_PACKET,NGC4217_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,1.7333333333333334,156.92569499607131,206.6022777383315,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,156.92569499607131,0.0,156.92569499607131,5.196662693682956,10.393325387365913
NGC4217,2.61,146.0,7.7,BARYONIC_050_FAST_PACKET,NGC4217_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,1.7333333333333334,187.8942037424252,247.3742140698312,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,187.8942037424252,0.0,187.8942037424252,5.196662693682956,10.393325387365913
NGC4217,3.5,164.0,6.4,BARYONIC_050_FAST_PACKET,NGC4217_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,1.7333333333333334,199.95519160551947,263.2532424491672,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,199.95519160551947,0.0,199.95519160551947,5.196662693682956,10.393325387365913
NGC4217,4.37,174.0,5.95,BARYONIC_050_FAST_PACKET,NGC4217_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,1.7333333333333334,189.6952487544166,249.74540001102457,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,189.6952487544166,0.0,189.6952487544166,5.196662693682956,10.393325387365913
NGC4217,5.24,175.0,6.0,BARYONIC_050_FAST_PACKET,NGC4217_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,1.7333333333333334,179.16247863322275,235.87836378099624,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,179.16247863322275,0.00020747929825663954,179.17610803343405,5.196662693682956,10.393325387365913
NGC4217,6.11,184.0,6.4,BARYONIC_050_FAST_PACKET,NGC4217_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,1.7333333333333334,171.53028449810256,225.83011328577655,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,171.53028449810256,0.08181102059798973,176.6007992484892,5.196662693682956,10.393325387365913
NGC4217,6.98,185.0,6.4,BARYONIC_050_FAST_PACKET,NGC4217_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,1.7333333333333334,164.82326595477957,216.99991305681823,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,164.82326595477957,0.27246929900667644,180.54060867905076,5.196662693682956,10.393325387365913
NGC4217,7.85,188.0,6.65,BARYONIC_050_FAST_PACKET,NGC4217_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,1.7333333333333334,160.952999506067,211.9044705049896,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,160.952999506067,0.5158749217365889,188.96103388987083,5.196662693682956,10.393325387365913
NGC4217,8.72,190.0,7.35,BARYONIC_050_FAST_PACKET,NGC4217_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,1.7333333333333334,152.85172226703892,201.2386434062802,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,152.85172226703892,0.755720496,190.55620474760178,5.196662693682956,10.393325387365913
NGC4217,9.6,191.0,6.4,BARYONIC_050_FAST_PACKET,NGC4217_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,1.7333333333333334,145.1025713073342,191.0364120964029,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,145.1025713073342,0.9371998516542871,188.48147588199555,5.196662693682956,10.393325387365913
NGC4217,10.47,191.0,5.55,BARYONIC_050_FAST_PACKET,NGC4217_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,1.7333333333333334,139.07928458257183,183.1063866353838,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,139.1122580591034,1.0,183.10638663538384,5.196662693682956,10.393325387365913
NGC4217,11.35,189.0,5.95,BARYONIC_050_FAST_PACKET,NGC4217_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,1.7333333333333334,133.9824979241692,176.3961551924153,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,138.29490998115975,1.0,176.39615519241534,5.196662693682956,10.393325387365913
NGC4217,12.19,186.0,6.85,BARYONIC_050_FAST_PACKET,NGC4217_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,1.7333333333333334,129.28825855428636,170.21590188150265,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,141.76743501037703,1.0,170.21590188150265,5.196662693682956,10.393325387365913
NGC4217,13.12,183.0,6.4,BARYONIC_050_FAST_PACKET,NGC4217_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,1.7333333333333334,124.72642001596935,164.20996236525968,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,147.25175712657028,1.0,164.20996236525968,5.196662693682956,10.393325387365913
NGC4217,13.94,179.0,6.85,BARYONIC_050_FAST_PACKET,NGC4217_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,1.7333333333333334,120.82271330341824,159.07049366030563,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,150.83461007587363,1.0,159.07049366030563,5.196662693682956,10.393325387365913
NGC4217,14.86,177.0,7.25,BARYONIC_050_FAST_PACKET,NGC4217_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,1.7333333333333334,116.91676804462224,153.92807777227216,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,152.17098980854794,1.0,153.92807777227216,5.196662693682956,10.393325387365913
NGC4217,15.79,177.0,8.55,BARYONIC_050_FAST_PACKET,NGC4217_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,1.7333333333333334,113.71339454963078,149.71064059266683,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,149.71064059266683,1.0,149.71064059266683,5.196662693682956,10.393325387365913
NGC4217,16.72,178.0,12.0,BARYONIC_050_FAST_PACKET,NGC4217_DISTRIBUTED_VERTICAL_HALO_BETA_V2,BULLOCK_DISK_CONVERSION,1.7333333333333334,111.19548439572536,146.3956578363352,False,True,False,beta_transfer_distributed_vertical_halo_control_replay_not_endpoint,146.39565783633523,1.0,146.39565783633523,5.196662693682956,10.393325387365913
