galaxy,r,vobs,errv,vn,v_v6,v_mond,v_K_exponential_disk,v_wvo_endpoint,W_warp,K_z,K_EC,K_lag,K_wvo,mixed_attenuation,delta_v2_expdisk_wvo_frozen,v_expdisk_wvo_frozen,retrospective_endpoint_scores_allowed,prospective_endpoint_protocol_ready,claim_boundary
NGC4013,12.77,186.0,5.0,131.95662726820507,194.3078525883512,196.70336068454304,189.86753096942365,191.85352179124797,1.0,0.15766428147554543,0.19023462270133162,0.0,0.11596630139229235,0.025102745562427933,-904.945927487337,187.46928652165323,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,13.47,185.0,6.0,128.01845327920503,192.40532223782853,194.77196905544645,187.76268228285906,190.08075649647702,1.0,0.1507056797581336,0.18214936247723132,0.0,0.11095168074512163,0.024017251374144795,-846.7239907673284,185.4942070989996,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,14.17,180.0,10.0,124.4767450972269,190.73034471993145,193.116130875659,185.90179958008932,188.52208583723794,1.0,0.14433535759119975,0.17472335468841002,0.0,0.10635290409320325,0.023021773215356037,-795.620489984416,183.74944516142432,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,14.98,163.0,8.0,120.73355693426744,188.96011858782455,191.4219639897805,183.93465723569014,186.87303851997964,1.0,0.13760478088276556,0.16685205784204674,0.0,0.10148561290827077,0.021968170826328483,-743.226235641996,181.90308380225122,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,15.68,162.0,6.0,117.54869276176576,187.33128715477463,189.9039745094725,182.14469072788967,185.34133834594513,1.0,0.13227428054832416,0.16059957173447537,0.0,0.09762461742759984,0.021132397105813775,-701.1029530869273,180.20983715455614,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,16.37,164.0,5.0,114.53626268566649,185.7225326397423,188.44406453744952,180.3872514854677,183.82135091306856,1.0,0.1274092403950865,0.15487867836861124,0.0,0.09409597292123258,0.020368566025921422,-662.784186467783,178.54068531293808,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,17.19,166.0,5.0,111.23102503348603,183.93291338243915,186.87628269379215,178.437487552436,182.1279814791714,1.0,0.12207347071389917,0.1485884101040119,0.0,0.09022062693930369,0.01952968591176091,-621.8239683576903,176.6864822097833,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,17.88,166.0,5.0,108.57719751402684,182.43308067325452,185.59961425638457,176.8136873444035,180.7031157114401,1.0,0.117918080729327,0.14367816091954022,0.0,0.08719874721628906,0.018875552108264977,-590.1078962149986,175.13700961278707,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,18.58,166.0,5.0,106.10852274911755,181.03902172900663,184.45838501038313,175.30754378945133,179.37895409611207,1.0,0.11398189731100795,0.139017608897127,0.0,0.08433316873604497,0.018255252188244267,-561.0338262072073,173.70003190351804,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,19.39,166.0,5.0,103.59573070353817,179.67369927722612,183.40823268630876,173.8325793787291,178.0867750585295,1.0,0.10974294514765932,0.13398838767306834,0.0,0.0812437776069092,0.017586504469929338,-531.4248707358893,172.2972454298857,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,20.09,168.0,5.0,101.5419823028879,178.5247125807357,182.554765024668,172.59991275571903,176.99653102038477,1.0,0.10632571700065337,0.12992637505413598,0.0,0.07875069735159645,0.017046837699803405,-507.83773727898733,171.1224478144315,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,20.79,172.0,5.0,99.55126980606526,177.3594781033363,181.7067042856233,171.35928091267954,175.8866610768948,1.0,0.10311487680567505,0.12610340479192939,0.0,0.07640609386586814,0.016539311081808398,-485.66038278627093,169.93629033294903,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,21.48,173.0,5.0,97.796003650456,176.36856723715874,181.0365942502915,170.30786868417567,174.94590434953557,1.0,0.10013420689065192,0.12254901960784313,0.0,0.07422774216616501,0.016067772300226074,-466.04204216157086,168.93409393483856,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,22.3,171.0,5.0,96.00005505206754,175.43812498052307,180.4893007070894,169.32469142600044,174.06952590870767,1.0,0.09680859743286974,0.11857707509881422,0.0,0.07179522417722797,0.01554121519338388,-445.5798671345692,168.00378346744367,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,22.99,170.0,5.0,94.6452644351528,174.77284378590178,180.150326660186,168.62762328577182,173.4461621201306,1.0,0.0941767086627128,0.11542901115813774,0.0,0.06986857327361684,0.015124161041959624,-430.05968343912537,167.3475893210567,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,23.69,172.0,5.0,93.46625128890106,174.27639796507236,179.9803547810016,168.1128141365287,172.9886758703488,1.0,0.09164898150092021,0.11240164855751215,0.0,0.06801687668614412,0.014723331941297858,-416.10960408867686,166.8706345430926,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,24.39,173.0,5.0,92.66651471810084,174.19300287431352,180.19633943618277,168.03323074778044,172.93924812963303,1.0,0.0892533972868629,0.10952902519167579,0.0,0.06626080749284623,0.014343202907085986,-404.98272416889085,166.82381098442733,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,25.2,176.0,5.0,91.64455232036435,173.92830425976595,180.2974853817498,167.77493046132264,172.7128966728544,1.0,0.08663307618586734,0.10638297872340426,0.0,0.0643386849697572,0.013927128995461493,-392.0267779053247,166.60252253011154,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,25.9,178.0,5.0,90.40273292329164,173.2079020093131,179.9421148191226,167.04847364614773,172.0272307937298,1.0,0.08448946824948608,0.10380622837370243,0.0,0.0627652322077295,0.013586530184725379,-379.1347408572874,165.9097881580542,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,26.59,180.0,6.0,89.18344829619451,172.4563937072638,179.56079574004715,166.29482646635972,171.30860890975046,1.0,0.08247782994274959,0.1013856032443393,0.0,0.06128781106236296,0.013266718940808685,-366.8774384265744,165.18805002496433,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,27.41,180.0,8.0,87.74860380655637,171.5219150399405,179.07802015464898,165.3626480720491,170.4115155339041,1.0,0.08020832298740814,0.09865175928970733,0.0,0.05962002742570516,0.01290570071584541,-352.90387433376964,164.29212246199327,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,28.1,180.0,5.0,86.52238421356637,170.66250076795836,178.61202156456392,164.50738139490986,169.58247597664638,1.0,0.07839319237600684,0.09646302250803858,0.0,0.05828540496134847,0.01261680051171358,-341.4444163686712,163.4663088132893,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,28.8,180.0,5.0,85.39209723387755,169.89535169493118,178.2383983221232,163.75260085389442,168.8441307802604,1.0,0.07663381960415652,0.09433962264150944,0.0,0.05699114741522199,0.012336637934459695,-330.80588879507195,162.73938797236454,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,29.61,178.0,5.0,84.15713475398267,169.05393355663907,177.85249257296894,162.93214452413204,168.03420227725243,1.0,0.07469403975514591,0.09199632014719412,0.0,0.05556345330078001,0.012027590895229083,-319.2950569181485,161.94933980203348,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,30.31,174.0,5.0,83.25187103002551,168.50388313856828,177.68029451319774,162.4107431432425,167.50907182840126,1.0,0.07309509583456918,0.09006304413089163,0.0,0.0543860466551536,0.011772722549047302,-310.53203983322965,161.4519044437292,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
NGC4013,31.01,170.0,10.0,81.92052642653123,167.34136167387393,176.96614568962613,161.2571155215835,166.3739736868618,1.0,0.07156317306162552,0.08820935019112025,0.0,0.053257507750915256,0.011528432400700126,-299.78371111360684,160.32490010983236,False,True,ngc4013_expdisk_wvo_frozen_protocol_audit_not_endpoint
