galaxy,n_rotmod_points,radius_min_kpc,radius_max_kpc,vobs_min_kms,vobs_max_kms,vobs_last_kms,errv_median_kms,v_baryon_050_last_kms,distance_mpc_from_rotmod_header,source_file,hubble_type_T,distance_mpc,distance_error_mpc,distance_method_flag,inclination_deg,inclination_error_deg,luminosity_36_1e9_lsun,luminosity_36_error_1e9_lsun,reff_kpc,sbeff_lsun_pc2,rdisk_kpc,sbdisk0_lsun_pc2,mhi_1e9_msun,rhi_kpc,vflat_kms,vflat_error_kms,quality_Q,rotation_curve_ref,has_master_row,rotation_curve_data_ready,fast_packet_role,source_url,secondary_source_url,claim_boundary
F561-1,6,1.61,9.66,23.4,50.4,50.4,5.0,45.588423969249035,66.4,data/external/sparc/rotmod_ltg/F561-1_rotmod.dat,9,66.4,10.0,1,24.0,10.0,4.077,0.327,5.39,22.12,2.79,93.07,1.622,10.69,50.0,2.9,3,"dB97,dB96",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
F563-1,17,1.07,20.1,22.1,112.5,106.0,10.7,38.63234460914843,48.9,data/external/sparc/rotmod_ltg/F563-1_rotmod.dat,9,48.9,9.8,1,25.0,5.0,1.903,0.17,4.61,14.22,3.52,41.77,3.2,23.47,109.9,12.5,1,"KN08,dB96",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
F563-V1,6,1.31,7.87,12.0,29.5,27.3,5.0,26.057117070006036,54.0,data/external/sparc/rotmod_ltg/F563-V1_rotmod.dat,10,54.0,10.8,1,60.0,10.0,1.54,0.165,5.01,9.75,3.79,40.63,0.61,6.83,0.0,0.0,3,"dB97,dB96",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
F563-V2,10,0.28,10.47,11.9,118.0,118.0,11.44,47.743576531298956,59.7,data/external/sparc/rotmod_ltg/F563-V2_rotmod.dat,10,59.7,11.9,1,29.0,10.0,2.986,0.267,4.49,23.6,2.43,146.16,2.169,11.37,116.6,9.4,1,"dB01,dB96",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
F565-V2,7,1.26,8.8,21.7,83.1,83.1,7.0,30.156646033668927,51.8,data/external/sparc/rotmod_ltg/F565-V2_rotmod.dat,10,51.8,10.4,1,60.0,10.0,0.559,0.098,3.57,6.93,2.17,40.26,0.699,7.31,0.0,0.0,2,"dB97,dB96",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
F567-2,5,1.92,9.59,26.9,52.2,52.2,8.0,33.65649491554342,79.0,data/external/sparc/rotmod_ltg/F567-2_rotmod.dat,9,79.0,11.8,1,20.0,10.0,2.134,0.305,5.43,11.5,3.08,46.65,2.449,14.94,0.0,0.0,3,"dB97,dB96",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
F568-1,12,0.44,13.23,15.7,142.0,142.0,9.1,59.124520294037055,90.7,data/external/sparc/rotmod_ltg/F568-1_rotmod.dat,5,90.7,9.7,1,26.0,5.0,6.252,0.564,7.0,20.36,5.18,57.13,4.498,16.31,0.0,0.0,1,"dB01,dB96",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
F568-3,18,0.64,17.98,12.4,120.0,120.0,8.29,52.15391116685306,82.4,data/external/sparc/rotmod_ltg/F568-3_rotmod.dat,7,82.4,8.24,1,40.0,10.0,8.346,0.592,7.47,23.81,4.99,132.08,3.195,16.14,0.0,0.0,1,"KN08,dB96",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
F568-V1,15,0.39,17.63,17.4,118.0,118.0,13.1,42.9724109167731,80.6,data/external/sparc/rotmod_ltg/F568-V1_rotmod.dat,7,80.6,8.06,1,40.0,10.0,3.825,0.384,4.4,31.39,2.85,90.54,2.491,14.38,112.3,15.8,1,"dB01,dB96",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
F571-8,13,0.22,15.55,12.4,144.0,144.0,4.0,40.78579225661799,53.3,data/external/sparc/rotmod_ltg/F571-8_rotmod.dat,5,53.3,10.7,1,85.0,5.0,10.164,0.412,1.4,825.71,3.56,87.26,1.782,24.55,139.7,4.3,1,"dB01,dB96",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
F571-V1,7,1.95,13.59,32.0,84.3,83.9,6.0,34.39023407887768,80.1,data/external/sparc/rotmod_ltg/F571-V1_rotmod.dat,7,80.1,8.0,1,30.0,10.0,1.849,0.267,4.38,15.3,2.47,64.39,1.217,10.1,83.6,3.5,2,"dB97,dB96",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
F574-1,14,0.47,12.6,15.3,99.7,99.7,4.4,46.48352880322233,96.8,data/external/sparc/rotmod_ltg/F574-1_rotmod.dat,7,96.8,9.68,1,65.0,10.0,6.537,0.596,5.87,29.98,4.46,128.48,3.524,16.19,97.8,4.1,1,"dB01,dB96",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
F574-2,5,2.17,10.83,12.6,40.0,40.0,8.0,38.11981243395618,89.1,data/external/sparc/rotmod_ltg/F574-2_rotmod.dat,9,89.1,8.91,1,30.0,10.0,2.877,0.384,6.48,10.89,3.76,41.38,1.701,12.61,0.0,0.0,3,"dB97,dB96",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
F579-V1,14,0.42,15.16,35.7,114.0,114.0,9.2,55.7872212070112,89.5,data/external/sparc/rotmod_ltg/F579-V1_rotmod.dat,5,89.5,8.95,1,26.0,10.0,11.848,0.742,5.76,56.6,3.37,201.76,2.245,20.96,112.1,13.4,1,"dB01,dB96",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
F583-1,25,0.26,16.26,10.0,86.9,85.8,6.0,41.35500634747866,35.4,data/external/sparc/rotmod_ltg/F583-1_rotmod.dat,9,35.4,8.85,1,63.0,5.0,0.986,0.093,3.74,11.19,2.36,60.93,2.126,15.65,85.8,3.6,1,"KN08,dB96",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
F583-4,12,0.22,7.29,10.7,69.9,69.9,4.9,30.299004934155843,53.3,data/external/sparc/rotmod_ltg/F583-4_rotmod.dat,5,53.3,10.7,1,55.0,10.0,1.715,0.185,3.31,24.94,1.93,83.34,0.641,7.8,0.0,0.0,1,"KN08,dB96",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
IC2574,34,0.85,10.23,10.3,67.5,67.5,2.1,32.023262638275945,3.91,data/external/sparc/rotmod_ltg/IC2574_rotmod.dat,9,3.91,0.2,2,75.0,7.0,1.016,0.012,3.18,15.88,2.78,80.32,1.036,10.81,66.4,2.0,2,"Sa96,MC94",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
IC4202,32,0.77,25.9,35.1,250.0,247.0,5.8100000000000005,143.77282166668357,100.4,data/external/sparc/rotmod_ltg/IC4202_rotmod.dat,4,100.4,10.0,1,90.0,1.0,179.749,3.311,8.55,391.59,4.78,8888.53,12.326,32.13,242.6,11.0,1,SG06,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
KK98-251,15,0.25,3.13,4.25,34.6,34.2,2.0,19.5092119266771,6.8,data/external/sparc/rotmod_ltg/KK98-251_rotmod.dat,10,6.8,2.04,1,59.0,5.0,0.085,0.007,1.28,7.89,1.34,52.1,0.115,2.9,33.7,1.6,2,BC04,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC0024,29,0.21,11.27,17.4,110.0,110.0,8.52,34.97244129310963,7.3,data/external/sparc/rotmod_ltg/NGC0024_rotmod.dat,5,7.3,0.36,2,64.0,3.0,3.889,0.036,2.01,151.65,1.34,1182.58,0.676,7.29,106.3,7.9,1,"Di08,Ch06",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC0055,21,1.23,13.5,28.7,87.4,86.5,4.0,47.766432774491335,2.11,data/external/sparc/rotmod_ltg/NGC0055_rotmod.dat,9,2.11,0.11,2,77.0,3.0,4.628,0.013,3.67,54.55,6.11,391.59,1.565,10.24,85.6,5.0,2,"Sa96,Pu91",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC0100,21,0.23,9.62,6.81,91.2,91.2,4.09,35.674418005063515,13.5,data/external/sparc/rotmod_ltg/NGC0100_rotmod.dat,6,13.5,4.05,1,89.0,1.0,3.232,0.063,2.81,64.99,1.66,1193.52,1.99,16.36,88.1,6.4,1,"dB02,Rh96",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC0247,26,1.08,14.54,34.6,108.0,107.0,4.9,48.218655103600724,3.7,data/external/sparc/rotmod_ltg/NGC0247_rotmod.dat,7,3.7,0.19,2,74.0,3.0,7.332,0.027,5.87,33.79,3.74,506.79,1.746,12.79,104.9,8.0,2,"Sa96,Ca90",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC0289,28,1.5,71.12,156.0,194.0,165.0,6.77,70.9577014847578,20.8,data/external/sparc/rotmod_ltg/NGC0289_rotmod.dat,4,20.8,5.2,1,46.0,5.0,72.065,0.465,2.69,1587.93,6.74,69.96,27.469,49.51,163.0,8.0,2,Wa97,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC0300,25,0.91,11.8,33.1,97.0,93.5,5.7,33.04233118289325,2.08,data/external/sparc/rotmod_ltg/NGC0300_rotmod.dat,7,2.08,0.1,2,42.0,10.0,2.922,0.008,1.77,147.51,1.75,437.35,0.936,9.2,93.3,7.0,2,"Sa96,CP90",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC0801,13,1.17,59.82,123.0,238.0,216.0,6.2,130.34367706183528,80.7,data/external/sparc/rotmod_ltg/NGC0801_rotmod.dat,5,80.7,8.07,1,80.0,1.0,312.57,3.455,7.76,818.14,8.72,1558.94,23.201,44.99,220.1,6.2,1,"Sa96,Br92",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC0891,18,0.92,17.11,192.0,234.0,208.0,3.625,145.1589089584239,9.91,data/external/sparc/rotmod_ltg/NGC0891_rotmod.dat,3,9.91,0.5,2,90.0,1.0,138.34,0.255,3.68,1617.45,2.55,5067.92,4.462,18.16,216.1,5.7,1,Fr11,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC1003,36,1.25,30.24,47.0,115.0,115.0,2.7,43.51191733307095,11.4,data/external/sparc/rotmod_ltg/NGC1003_rotmod.dat,6,11.4,3.42,1,67.0,5.0,6.82,0.075,2.76,140.87,1.61,1345.33,5.88,33.33,109.8,4.2,1,"Sa96,Br92",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC1090,24,0.35,30.09,20.9,176.0,160.0,3.4450000000000003,91.5860573449911,37.0,data/external/sparc/rotmod_ltg/NGC1090_rotmod.dat,4,37.0,9.25,1,64.0,3.0,72.045,0.796,6.36,283.68,3.53,2055.09,8.783,30.49,164.4,3.7,1,Ge04,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC1705,14,0.22,6.0,50.2,73.2,71.5,5.515,19.842703948806978,5.73,data/external/sparc/rotmod_ltg/NGC1705_rotmod.dat,11,5.73,0.29,2,80.0,10.0,0.533,0.01,0.49,347.4,0.39,587.26,0.139,2.36,71.9,4.3,3,Le14,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC2366,26,0.12,6.06,4.2,53.7,49.4,1.98,27.83470585438258,3.27,data/external/sparc/rotmod_ltg/NGC2366_rotmod.dat,10,3.27,0.16,2,68.0,5.0,0.236,0.005,1.08,31.98,0.65,113.98,0.647,6.94,50.2,3.2,3,Le14,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC2403,73,0.16,20.87,24.5,136.0,134.0,1.8,51.44159163556275,3.16,data/external/sparc/rotmod_ltg/NGC2403_rotmod.dat,6,3.16,0.16,2,63.0,3.0,10.041,0.028,2.16,341.06,1.39,1408.74,3.199,15.11,131.2,4.9,1,"Da06,Fr02",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC2683,11,2.89,34.62,150.0,212.0,151.0,10.0,73.02810383681066,9.81,data/external/sparc/rotmod_ltg/NGC2683_rotmod.dat,3,9.81,0.49,2,80.0,5.0,80.415,0.222,3.34,1139.8,2.18,10205.4,1.406,13.79,154.0,8.1,2,"Sa96,Br92",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC2841,50,3.44,63.64,271.0,323.0,294.0,5.93,105.64445797106444,14.1,data/external/sparc/rotmod_ltg/NGC2841_rotmod.dat,3,14.1,1.4,3,76.0,10.0,188.121,0.52,5.51,983.63,3.64,4751.49,9.775,45.12,284.8,8.6,1,"Di08,Be91",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC2903,34,0.32,24.96,44.0,216.0,180.0,3.0,90.00462238129772,6.6,data/external/sparc/rotmod_ltg/NGC2903_rotmod.dat,4,6.6,1.98,1,66.0,3.0,81.863,0.151,4.54,632.16,2.33,1193.52,2.552,13.76,184.6,5.6,1,"Be91,Be87",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC2915,30,0.34,10.04,13.5,86.5,86.5,7.835,23.1362929182702,4.06,data/external/sparc/rotmod_ltg/NGC2915_rotmod.dat,11,4.06,0.2,2,56.0,4.0,0.641,0.008,0.53,347.4,0.55,313.93,0.508,7.16,83.5,6.3,2,El10,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC2955,24,0.75,35.43,169.0,276.0,227.0,8.59,161.08182858410814,97.9,data/external/sparc/rotmod_ltg/NGC2955_rotmod.dat,3,97.9,9.8,1,56.0,7.0,319.422,4.413,7.22,974.61,18.76,50.68,28.949,40.34,0.0,0.0,1,SG06,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC2976,27,0.11,2.27,6.8,88.7,85.3,3.3,60.03266027755225,3.58,data/external/sparc/rotmod_ltg/NGC2976_rotmod.dat,5,3.58,0.18,2,61.0,10.0,3.371,0.019,1.31,308.2,1.01,1502.55,0.172,3.04,85.4,3.3,2,Si03,True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC2998,13,0.33,42.28,90.0,214.0,203.0,5.0,112.30156031863494,68.1,data/external/sparc/rotmod_ltg/NGC2998_rotmod.dat,5,68.1,10.2,1,58.0,2.0,150.902,2.085,7.06,479.55,6.2,774.16,23.451,43.58,209.9,8.1,1,"Sa96,Br92",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC3109,25,0.26,6.45,6.1,67.3,67.3,3.0,21.363059237852617,1.33,data/external/sparc/rotmod_ltg/NGC3109_rotmod.dat,9,1.33,0.07,2,70.0,5.0,0.194,0.002,1.64,11.4,1.56,140.87,0.477,6.0,66.2,2.6,1,"Be91,JC90",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC3198,43,0.32,44.08,24.4,157.0,149.0,2.36,64.71316751635636,13.8,data/external/sparc/rotmod_ltg/NGC3198_rotmod.dat,5,13.8,1.4,3,73.0,3.0,38.279,0.212,5.84,178.99,3.14,1602.62,10.869,35.66,150.1,3.9,1,"Da06,Be91,Be87",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
NGC3521,41,0.51,17.74,143.0,220.0,206.0,10.7,112.4446757298895,7.7,data/external/sparc/rotmod_ltg/NGC3521_rotmod.dat,4,7.7,2.3,1,75.0,5.0,84.836,0.156,2.45,2232.7,2.4,2112.66,4.154,18.85,213.7,15.9,1,"Da06,Sa96",True,True,rotation_curve_and_baryonic_carrier_acquired_not_endpoint,https://astroweb.case.edu/SPARC/,https://zenodo.org/records/16284118,fast_sparc_rotation_curve_packet_acquisition_not_endpoint
